№;Название;Тикер; ; ;Капит-я млрд руб;EV млрд руб;Выручка;Чистая прибыль;ДД ао, %;ДД ап, %;ДД/ЧП, %;P/E;P/S;P/B;EV/EBITDA;Рентаб. EBITDA;долг/EBITDA;отчет
125;Займер;ZAYM;;;15;14;;4.4;24.6%;;83%;3.4;;;;;;LTM-МСФО
126;ТНС энерго Нижний Новгород;NNSB;;;14;16;47;0.4;0.0%;0.0%;;37.1;0.3;-2.5;11.3;3%;1.1;LTM-МСФО
127;Лензолото;LNZL;;;14;13;0;0.0;10.3%;0.6%;2 725%;284.9;46.5;43.1;;;;LTM-МСФО
128;IVA Technologies;IVAT;;;13;14;3;1.9;0.0%;;;7.0;4.0;7.9;5.8;70%;0.1;LTM-МСФО
129;Таттелеком;TTLK;;;13;8;12;2.2;6.1%;;35%;5.8;1.1;1.0;2.3;29%;-1.6;LTM-МСФО
130;Пермэнергосбыт;PMSB;;;13;7;53;2.7;21.8%;21.2%;102%;4.7;0.2;3.2;;;;LTM-МСФО
131;Красноярскэнергосбыт;KRSB;;;12;9;43;2.5;13.9%;13.5%;68%;4.9;0.3;2.2;3.2;6%;-1.3;LTM-МСФО
132;ТНС энерго Ярославль;YRSB;;;12;13;20;0.5;0.0%;0.0%;;23.9;0.6;27.5;;;;LTM-МСФО
133;Бурятзолото;BRZL;;;12;7;;1.6;0.0%;;;7.4;;0.6;;;;LTM-МСФО
134;МКФ Красный Октябрь;KROT;;;12;15;24;0.0;0.0%;0.0%;;2 993.0;0.5;1.1;-30.3;-2%;-5.4;LTM-МСФО
135;ТНС энерго Кубань;KBSB;;;11;6;75;2.5;11.9%;;50%;4.2;0.1;1.4;3.7;2%;-2.6;LTM-МСФО
136;Россети Юг;MRKY;;;10;33;63;6.6;0.0%;;;1.6;0.2;1.1;3.5;15%;2.4;LTM-МСФО
137;Ламбумиз;LMBZ;;;10;10;3;0.3;0.0%;;;38.2;3.7;6.2;23.1;16%;-0.9;LTM-МСФО
138;ЧКПЗ;CHKZ;;;10;42;102;3.8;4.4%;;15%;2.6;0.1;1.3;2.1;19%;1.6;LTM-МСФО
139;Самараэнерго;SAGO;;;10;4;48;1.7;0.0%;0.0%;;5.6;0.2;1.0;;;;LTM-РСБУ
140;ТГК-2;TGKB;;;9;22;57;-3.5;0.0%;0.0%;;-2.7;0.2;1.3;5.3;7%;3.0;LTM-МСФО
141;Башинформсвязь;BISV;;;9;10;26;0.5;0.0%;0.0%;;16.8;0.4;0.5;1.3;28%;0.1;LTM-МСФО
142;Коршуновский ГОК;KOGK;;;9;9;15;4.2;0.0%;;;2.2;0.6;0.2;;;;LTM-РСБУ
143;ЛЭСК;LPSB;;;9;8;14;0.4;28.1%;;560%;20.0;0.7;9.6;25.8;2%;-3.0;LTM-МСФО
144;Россети Северо-Запад;MRKZ;;;9;13;68;0.0;0.0%;;;482.7;0.1;0.4;1.3;15%;0.5;LTM-МСФО
